,glcm_mean,glcm_variance,glcm_autoCorrelation,glcm_cProminence,glcm_cShade,glcm_cTendency,glcm_contrast,glcm_correlation,glcm_differenceEntropy,glcm_dissimilarity,glcm_energy,glcm_entropy,glcm_homogeneity1,glcm_homogeneity2,glcm_IDMN,glcm_IDN,glcm_inverseVariance,glcm_maxProb,glcm_sumAverage,glcm_sumEntropy,glcm_sumVariance
image 22,-1.112497267,-0.445378545,-1.078714331,-0.119610072,0.707566411,-0.427787223,-0.490446521,0.408941148,-0.200323761,-0.45393908,-0.003286634,-0.663760032,0.321482696,0.352238324,0.492943108,0.427563388,0.295521855,0.257302231,-0.93108503,-0.480305404,-1.02389905
image 23,0.187098276,-0.885087082,-0.225582806,-0.538918778,0.261299377,-0.868652861,-0.458049337,-0.180250589,-0.686227069,-0.784370863,0.121370859,-0.874521048,1.088802352,1.061240145,0.471788861,0.826460491,-1.278639547,0.18028831,0.422579286,-0.575473203,0.12408849
image 24,-0.774821274,2.220556928,-0.331142321,1.156794491,0.764004148,2.196633063,0.66652565,0.44067613,0.514818126,0.283281933,-0.281899546,0.296220207,-0.057108426,-0.037690294,-0.54079265,-0.188817065,0.095151845,-0.175160554,-0.526911702,0.415689996,-0.221486152
image 25,1.539683692,-0.717633425,1.833708102,-0.309200251,-0.002560295,-0.688504,-0.812134947,0.721090776,-1.553622184,-1.265901488,0.283007033,-1.041794845,1.577073982,1.544282828,0.865441371,1.338857808,-1.598720851,0.777842103,1.72476686,-0.473010938,2.046766974
image 26,0.131705175,0.200096636,0.112715095,-0.224240677,0.080084806,0.168908614,0.869695264,-0.215133477,1.156868337,1.037058322,-0.437974819,1.031064595,-0.924002865,-0.946522125,-0.842592998,-1.003959352,0.111099289,-0.495064532,0.376528231,0.712552511,0.198534598
image 27,-0.334225294,-0.066664106,-0.394484869,-0.28049909,0.229590001,-0.06693897,0.00768473,0.178535222,0.587553879,0.393425861,-0.443243474,0.862143345,-0.698823653,-0.685254199,-0.002012664,-0.417827482,0.854688731,-0.616509561,-0.072684751,0.788358823,-0.319207088
image 28,-0.668012125,-0.298940675,-0.74224517,-0.37924363,0.317014037,-0.337037414,1.062507597,-0.940353455,1.273156603,1.256670448,-0.449388157,1.019079937,-1.093656313,-1.100105443,-1.053599814,-1.218523593,0.318000954,-0.652054447,-0.399582686,0.613936602,-0.651779019
image 29,0.210592246,-0.290937756,0.126356408,-0.310544928,0.061171122,-0.264597021,-0.734490315,0.696400212,-0.879632217,-0.921813208,-0.270122632,-0.121825704,0.867353776,0.894183286,0.781311108,0.955701329,-0.094802448,-0.101690504,0.459819336,0.502077281,0.219501381
image 30,1.908613029,4.329117299,-0.653333078,2.855894701,-4.323030119,4.358958621,-0.833463981,0.815901763,-2.228176069,-1.460100481,2.22289197,-2.691530849,2.01846043,1.948475576,0.82078312,1.48099008,-2.560511622,1.901253228,-2.811044047,-3.971615148,-1.679678951
image 31,0.07875104,1.025333415,0.235925995,0.308608218,0.010880202,1.045238019,-0.555388149,0.701675547,-0.240865438,-0.444141,-0.401230657,0.4302363,0.128575899,0.171880103,0.58852191,0.439206748,0.790929102,-0.560230157,0.306203535,0.894350818,0.290393236
image 32,0.064820367,0.150764243,0.047025412,-0.108915061,0.151744954,0.159923375,-0.255468762,0.441217985,0.339794807,0.182260355,-0.45077689,0.804644875,-0.633913187,-0.630533276,0.26776382,-0.224514121,0.887936794,-0.681675186,0.268415847,0.856387778,0.070829911
image 33,1.121617906,0.130752902,1.365379299,0.680193812,-0.965885423,0.150973158,-0.563929225,0.628452031,-0.404548075,-0.523877095,-0.127756104,-0.478675856,0.219408958,0.285227718,0.600938896,0.52869906,0.99830932,0.081058835,1.347430808,-0.266590807,1.571166738
image 34,-0.392343006,-0.30972515,-0.493320308,-0.358838126,0.298127391,-0.306566892,-0.087985137,0.098575331,0.503966861,0.393763726,-0.441338267,0.767054146,-0.825155727,-0.821713724,0.093692346,-0.436353373,0.962672082,-0.644649262,-0.132443527,0.652680009,-0.415843583
image 35,-0.201004995,-0.441017721,-0.361246103,-0.423700214,0.196362259,-0.492472667,1.435075216,-1.6529258,1.320733481,1.499257381,-0.454761662,1.034186422,-1.363103184,-1.382658902,-1.316149468,-1.44636963,0.406777171,-0.687599334,0.057786067,0.520675144,-0.262661414
image 36,0.168575315,-0.279456208,0.076562928,-0.355216344,0.226855613,-0.267483331,-0.333811044,0.340584577,0.22142267,0.076170805,-0.431754974,0.638539394,-0.558565709,-0.540124053,0.350243623,-0.117536426,1.060943377,-0.601699191,0.416898221,0.685910533,0.155117335
image 37,0.393707292,-0.485475928,0.261733535,-0.429538185,0.150519501,-0.552997247,1.883138091,-2.307247701,1.622961859,1.947266118,-0.46044524,1.138677896,-1.53330577,-1.571768799,-1.830980307,-1.870130372,-0.054283917,-0.693523481,0.640224321,0.489724848,0.375615123
image 38,1.090812222,1.283463762,1.527472483,1.04434991,-1.338917385,1.257675143,0.718802924,0.281311566,0.140773179,0.072792157,0.937258636,-0.809769188,0.625134092,0.598142704,-0.639702529,0.072118772,-1.369902155,1.707237389,1.240566537,-0.782938687,1.730903128
image 39,-0.418204839,-0.571677752,-0.558393116,-0.407380936,0.319787009,-0.545361698,-0.733719923,0.642653065,-0.85152675,-0.874918632,-0.252714482,-0.260597464,0.739188755,0.781044763,0.780286475,0.901375005,0.246427292,-0.305491805,-0.164872938,0.317837996,-0.474131789
image 40,1.335917357,0.667930237,1.785777677,0.400429192,-0.742160384,0.690558054,-0.631227012,0.713181645,-0.464780466,-0.685038609,0.056468221,-0.383189356,0.56699955,0.576107221,0.670239337,0.70289873,-0.066165206,0.600902799,1.351368819,-0.054615994,1.779465466
image 41,-1.353630908,-0.974358575,-1.32218817,-0.512488926,0.380290075,-0.961121436,-0.368864821,-0.803554051,0.148360719,-0.201212132,-0.203940837,-0.423539233,0.025347153,0.020483764,0.390032337,0.19654661,0.103625773,-0.265378901,-1.071051252,-0.542527583,-1.195478922
image 42,-1.869612318,-0.939193538,-1.552796668,-0.531983063,0.334063744,-0.909580081,-0.825568515,0.685032219,-1.982021062,-1.395995558,0.365096534,-1.517317568,1.904147986,1.830130458,0.880313869,1.487168276,-2.484996949,0.214106427,-1.577071366,-0.946640736,-1.420839985
image 43,-0.055809592,-0.08979189,-0.11883878,-0.140861067,0.112302185,-0.064267686,-0.711778193,0.701456345,-0.735842641,-0.813765101,-0.264855644,-0.006957579,0.657694478,0.688902533,0.756534655,0.835137294,0.194340237,-0.078893154,0.172999782,0.56984535,-0.058411185
image 44,-0.317284365,-0.246036437,-0.617458572,-0.213827617,-0.123545823,-0.267521238,0.599227862,-0.447338177,-1.398658065,-0.690782311,0.165278987,-1.179017202,1.455226043,1.431626683,-1.007144206,0.704794657,-1.712572594,0.223238381,-0.751894778,-1.192903518,-0.779432599
image 45,0.320296602,-0.64122469,0.179790354,-0.430207268,0.122403958,-0.621821858,-0.54090759,0.346093037,-0.201790654,-0.351228178,-0.358069203,0.149001806,-0.070361068,-0.018426784,0.572703009,0.334403476,1.130024969,-0.438785129,0.565488192,0.36290604,0.281976561
image 46,-0.581329941,-0.081393835,-0.607797842,-0.238694489,0.521464716,-0.065003246,-0.457067604,0.513996604,-0.264000559,-0.491779939,-0.097823424,-0.146778686,0.365111576,0.404284973,0.491177883,0.512763297,0.394509775,0.23360564,-0.316109768,0.202481878,-0.501148506
image 47,1.251630195,-0.337835563,1.464698937,-0.195783474,-0.139755456,-0.314760676,-0.6434005,0.603384417,-0.580649397,-0.680308502,-0.321573382,-0.00696515,0.441144653,0.499828207,0.685017141,0.693964655,0.72008668,-0.364733282,1.45771663,0.435041977,1.577753998
image 48,-0.381774152,0.5686604,-0.310406561,0.098786524,-0.093188812,0.578837809,-0.283988101,0.542706275,0.226438574,-0.005930343,-0.443777856,0.767871786,-0.353883125,-0.32566075,0.30396055,-0.01398555,0.924402255,-0.63131993,-0.119252266,0.948381593,-0.239005925
image 49,-0.254662256,-0.591653147,-0.417336606,-0.457386534,0.170612634,-0.579761484,-0.331454885,0.105805832,0.185997055,-0.10830338,-0.37995105,0.338317977,-0.180415622,-0.168144363,0.354122626,0.095244805,0.561938042,-0.480254163,0.005236217,0.413536429,-0.325324818
image 50,-0.230755991,-0.375467029,-0.360846707,-0.391719077,0.176332768,-0.384942587,0.264358785,-0.305494327,0.897939615,0.812716089,-0.439282499,0.864034601,-1.049935861,-1.078387133,-0.277828766,-0.849838636,0.442684516,-0.579483637,0.02864909,0.614003142,-0.275782231
image 51,0.223726717,-0.366715885,0.113613736,-0.345102662,0.174212474,-0.372973942,0.174628402,-0.206191618,0.763812046,0.664731303,-0.445518838,0.867944325,-0.966766405,-0.974158367,-0.179235239,-0.69800742,0.746330221,-0.663902743,0.473751908,0.630887275,0.202475926
image 52,-0.697741147,-0.756690391,-0.844326385,-0.512631749,0.298687352,-0.767230375,0.294154377,-1.246676978,0.811468326,0.689395434,-0.414258214,0.573024412,-0.919485396,-0.919716701,-0.366940993,-0.776014475,0.737893157,-0.585407785,-0.431495637,0.20829429,-0.744073831
image 53,0.17890247,-0.675120542,0.014170996,-0.44940043,0.141618826,-0.655124177,-0.557449788,0.342632547,-0.246645405,-0.390758361,-0.355905993,0.121611986,-0.017610275,0.036870615,0.590499116,0.376762769,1.115972003,-0.456557572,0.429852771,0.335835673,0.117279458
image 54,0.391312271,1.205937406,0.624010236,0.865400683,-0.936449537,1.232358029,-0.737155988,0.774244997,-0.881683308,-0.870864254,-0.356740553,0.066861497,0.705009322,0.760155028,0.784016228,0.895852628,0.45212598,-0.536533566,0.633617931,0.755170089,0.715959343
image 55,0.026895538,-0.130748094,-0.084292403,-0.337200952,0.143394663,-0.2158502,2.373317306,-1.685569735,1.853081582,2.421628309,-0.477869666,1.44092194,-1.762856531,-1.804416339,-2.344684476,-2.321820596,-0.280192958,-0.721663183,0.280983051,0.7364273,0.010951713
image 56,-0.014259273,-0.170111722,-0.111133996,-0.320973677,0.160556607,-0.194359027,0.676244805,-0.418965054,1.200507471,1.250926746,-0.464988663,1.15793879,-1.296330481,-1.34008816,-0.706557701,-1.275359972,0.145719435,-0.690561407,0.240677618,0.758332397,-0.029456546
image 57,-0.74302682,-0.113196492,-0.743670412,-0.28385562,0.22516326,-0.095149249,-0.503258135,0.540421831,-0.109918186,-0.255612437,-0.425467271,0.521102602,-0.199778092,-0.152584018,0.531968173,0.231528862,1.18209053,-0.646130299,-0.473049183,0.763374201,-0.668892001
image 58,-0.079034704,-0.469363294,-0.232455971,-0.398789706,0.179042469,-0.485799343,0.458496457,-0.658545836,1.029892229,0.994825221,-0.452149129,0.906357807,-1.15131802,-1.183244835,-0.474352355,-1.023394069,0.359693476,-0.668345853,0.174398529,0.548214821,-0.144024288
