,glcm_mean,glcm_variance,glcm_autoCorrelation,glcm_cProminence,glcm_cShade,glcm_cTendency,glcm_contrast,glcm_correlation,glcm_differenceEntropy,glcm_dissimilarity,glcm_energy,glcm_entropy,glcm_homogeneity1,glcm_homogeneity2,glcm_IDMN,glcm_IDN,glcm_inverseVariance,glcm_maxProb,glcm_sumAverage,glcm_sumEntropy,glcm_sumVariance
image 382,-1.362744006,-0.436535357,-1.230190696,-0.379260336,0.428043886,-0.442264631,0.159902409,-0.279788871,0.75075622,0.525531001,-0.403659644,0.582786602,-0.712610526,-0.711114814,-0.159956207,-0.540528004,0.57148138,-0.509874901,-1.081396535,0.420556005,-1.133176467
image 383,0.012876975,0.731500196,0.112255517,0.186231787,-0.102725688,0.758860446,-0.763220995,0.774059503,-1.058916924,-0.950262484,-0.364046361,0.082197715,0.823243655,0.885137106,0.812279457,0.982384902,0.418391084,-0.474330015,0.231747156,0.835032251,0.155699711
image 384,-1.619209011,-0.799108179,-1.421815925,-0.479871203,0.395070698,-0.77639633,-0.633141392,0.354923559,-0.45429165,-0.531985851,-0.262772545,-0.275813516,0.133536862,0.19898596,0.654475936,0.489000842,1.155637009,-0.265503807,-1.338206486,-0.047105463,-1.319837657
image 385,0.195491836,-0.472727536,0.06595158,-0.292345099,-0.068547303,-0.467816197,-0.136826346,-0.000503888,0.430769625,0.281930474,-0.385005057,0.418779579,-0.70061305,-0.681319846,0.14700259,-0.317226062,1.066566641,-0.449152387,0.446099755,0.315179799,0.176542386
image 386,2.307922362,-0.396157655,2.870498641,0.430034118,-0.635932722,-0.377746609,-0.513320897,0.45624303,-1.656448198,-1.159400801,3.346446011,-2.625967886,1.771599333,1.700798576,0.552458193,1.259156873,-2.471577417,3.306757279,-2.526452829,-3.283348411,-1.495989049
image 387,0.433148235,1.043803923,0.634602434,0.399512053,-0.072782625,1.051117831,-0.204271394,0.570910951,0.380829318,0.068399915,-0.151333695,0.406596056,-0.298865603,-0.322525945,0.220409219,-0.083610193,0.142206367,0.4365077,0.673170193,0.51101591,0.748516079
image 388,2.585195486,6.771597836,-0.444904498,7.2449978,-7.923327232,6.801116073,-0.825168338,0.816904881,-2.173050342,-1.438814998,5.8832321,-3.4511575,2.016638715,1.934942093,0.731113249,1.40640326,-2.721525272,4.660425037,-2.789524862,-3.833486009,-1.672115113
image 389,-1.643674354,-1.042856227,-1.477486424,-0.532150241,0.350460291,-1.012717892,-0.840175708,0.676486191,-1.867806595,-1.370325073,0.34333732,-1.54090344,1.767749303,1.72836021,0.895821673,1.454110954,-1.881138235,0.245369819,-1.356629701,-0.935735047,-1.345327241
image 390,0.518182468,-0.002888951,0.532487024,-0.250984606,0.360484379,0.001059927,-0.110123213,0.293279742,0.324693797,0.115700988,-0.374373735,0.356509311,-0.420576322,-0.39096035,0.133714671,-0.123112519,0.93480486,-0.381024688,0.74792784,0.358038519,0.640696135
image 391,0.454967096,-0.040390362,0.448864192,-0.22906082,0.043562579,-0.036104898,-0.119498761,0.283451104,0.519572201,0.364707352,-0.450799509,0.847113805,-0.764573266,-0.76576757,0.123586911,-0.407952224,0.822007935,-0.647611336,0.691698211,0.799792915,0.521496637
image 392,-0.999579716,-0.414279076,-0.988111644,-0.37397735,0.348408608,-0.391085456,-0.646689305,0.586560897,-0.517411196,-0.598883083,-0.354937839,0.046731012,0.255477258,0.323347041,0.686389577,0.599361047,1.048224723,-0.418050612,-0.727147716,0.490083171,-0.904631958
image 393,1.184298701,-0.893327416,1.25965806,-0.534648591,0.21227782,-0.866073047,-0.759793042,0.540779524,-1.121826937,-1.080299732,-0.087400846,-0.730066235,1.231941452,1.221041151,0.80889738,1.134456502,-0.972745882,-0.104079574,1.414297808,-0.236104933,1.456951171
image 394,-1.612551292,-0.084104369,-1.27810863,0.05835032,0.891779729,-0.057585729,-0.739512146,0.722604335,-0.896316349,-0.881000198,-0.094681458,-0.483846421,0.724192494,0.778755282,0.786583378,0.907113879,0.424124145,-0.018170639,-1.327468413,0.028341729,-1.166448686
image 395,-0.20057719,-0.490422487,-0.342616038,-0.399111494,0.159364173,-0.470291911,-0.561246611,0.465026465,-0.26412168,-0.456979863,-0.365317846,0.22999016,0.133143466,0.179693717,0.595390355,0.452651328,0.840011422,-0.399849917,0.058205042,0.526123896,-0.258025551
image 396,-0.527299146,-0.441687992,-0.670169256,-0.44519725,0.290497351,-0.523037673,2.268762757,-2.549448461,1.869039515,2.504067323,-0.46781608,1.280171541,-1.839428622,-1.887592019,-2.299978585,-2.425758566,-0.389498142,-0.686118297,-0.261773827,0.5067632,-0.567396737
image 397,-1.271293754,-0.969331222,-1.274210416,-0.560890676,0.293298892,-0.956492146,-0.357765326,-0.808496393,0.172839191,0.020085247,-0.341759015,-0.003064284,-0.500960157,-0.472352584,0.154565269,-0.357030483,1.147621913,-0.410645427,-0.994222318,-0.163329493,-1.165125537
image 398,0.865284737,0.259441072,1.034467486,0.005959008,-0.224473649,0.27916361,-0.550086792,0.637156371,-0.188951939,-0.341430099,-0.34210019,0.294333035,-0.080570331,-0.047316152,0.581810043,0.321434023,0.927260488,-0.145539816,1.089286668,0.630050026,1.130248168
image 399,-0.093895203,-0.520189316,-0.241977843,-0.414087032,0.284393556,-0.497153521,-0.64225699,0.546657169,-0.509817865,-0.720117757,-0.26919195,-0.03596509,0.629706828,0.63759772,0.682042179,0.741327189,-0.148351374,-0.205936037,0.154131844,0.362721515,-0.15367428
image 400,-0.087647991,0.699054146,-0.011245355,0.09842379,0.666515202,0.690118252,0.248994666,0.325971356,0.864321569,0.694125541,-0.430415721,0.725267204,-0.882574327,-0.900400962,-0.255232645,-0.717285539,0.433635395,-0.555787046,0.116253691,0.481713097,0.046263783
image 401,-0.51820246,-0.331969026,-0.61299546,-0.326143709,0.148221524,-0.341047242,0.253265204,-0.241046408,0.861313626,0.797850037,-0.450977872,0.878994235,-1.070381316,-1.100241724,-0.262035631,-0.835955672,0.497808786,-0.666864817,-0.261386481,0.596747606,-0.535895301
image 402,-0.321261419,-0.227738487,-0.407808552,-0.33230758,0.182664315,-0.212582003,-0.422608781,0.440316873,0.039559822,-0.123507297,-0.422074843,0.547566763,-0.330750385,-0.288302157,0.446424221,0.095010149,1.188594683,-0.595775044,-0.065669496,0.703742678,-0.337448055
image 403,0.646950506,-0.747085906,0.55459994,-0.388471657,0.067970941,-0.726192792,-0.582436744,0.316107419,-0.374730511,-0.639325717,-0.201965473,-0.253254478,0.580123835,0.579941001,0.618402341,0.66010935,-0.260578375,-0.026208141,0.888070879,-0.005175626,0.702428309
image 404,0.461053526,3.778442204,1.205538872,3.408235574,-2.092775008,3.80198085,-0.657537453,0.785178621,-0.657661152,-0.817481614,0.250149076,-0.831090471,0.885949603,0.852200947,0.698300596,0.851460942,-0.953811695,0.691246052,-0.715505837,-0.663471997,-0.000373359
image 405,-0.92588338,-0.407162521,-0.958440085,-0.396640154,0.256590781,-0.444022485,1.028048774,-1.133782527,0.99172176,0.878937592,-0.407000472,0.696683544,-0.637873528,-0.614692367,-0.979984883,-0.797320165,0.410621766,-0.561711194,-0.652131838,0.450762493,-0.859668322
image 406,-1.019157365,-0.455185503,-1.021881115,-0.340874755,0.414696079,-0.463982559,0.245460428,-0.399326509,0.423588608,0.209627405,-0.378105218,0.424323711,-0.259212345,-0.21156412,-0.200033035,-0.169195597,0.785328342,-0.46692483,-0.744901043,0.428537162,-0.928587855
image 407,-1.552131821,-0.790991872,-1.385538022,-0.413335319,0.452166632,-0.762596402,-0.791645345,0.665544521,-1.322744536,-1.166764713,0.056066101,-0.927905181,1.360772462,1.351826553,0.843236992,1.228030438,-1.069412656,0.235374861,-1.269026801,-0.361728723,-1.27110311
image 408,1.404135737,-0.512295397,0.813627736,-0.387107262,-0.036376754,-0.488096284,-0.674701245,0.58782646,-1.185852908,-1.084085209,0.488068686,-1.267434267,1.429420051,1.383208931,0.678569172,1.105167235,-1.72032462,0.724469283,1.549610636,-0.974824343,1.798791414
image 409,0.954735477,2.035659528,-0.718059834,1.61098371,-2.33118664,2.005182727,0.849324307,0.371328026,-0.628758373,-0.207297769,-0.104098639,-0.628371519,0.328890819,0.413661335,-1.207615966,-0.062760593,0.924282351,-0.047791378,-1.719698593,-2.277376023,-1.020977289
image 410,0.365714111,2.037193176,0.751499595,1.189253792,-0.750547444,2.05329928,-0.449753694,0.711230325,-0.054324325,-0.369135013,-0.337251878,0.333594228,0.203612643,0.218911301,0.477583238,0.373980699,0.236241009,-0.26402277,0.107194115,0.436958155,0.381086665
image 411,2.238071398,-0.957044116,2.976328425,-0.261148759,0.025406504,-0.927236975,-0.830964681,0.692715139,-2.041639755,-1.412253626,2.367773946,-2.445465422,1.93617544,1.859127644,0.886022509,1.504951299,-2.556041586,2.640508153,2.366432224,-2.185752492,3.439119534
image 412,-0.153456137,3.333039466,0.442666716,1.885402277,-0.574137356,3.344101411,-0.309464069,0.716354088,-0.755279244,-0.712405659,0.094638814,-0.950000026,1.138994025,1.120812858,0.344111939,0.796731525,-1.342808332,0.294328154,0.104353582,-0.461503837,0.651400034
image 413,0.208427951,-0.426150607,0.097021935,-0.433312545,0.135483658,-0.401506038,-0.687149085,0.625707703,-0.693152704,-0.830517964,-0.302395227,-0.113980968,0.772033856,0.789208804,0.730533076,0.859810949,-0.153900766,-0.337678377,0.45868641,0.373505069,0.200127447
image 414,-1.200212166,-1.065604832,-1.245921697,-0.559250347,0.312517574,-1.042381498,-0.647327431,-0.287224217,-0.642436479,-0.718149361,0.009226569,-0.897765916,0.507513127,0.568783006,0.657397316,0.676832665,0.681222711,0.278036748,-0.923574834,-0.654549231,-1.116792127
image 415,-1.842572332,-1.052028969,-1.564888774,-0.498422912,0.419369706,-1.024025145,-0.78064701,0.398767211,-1.346717835,-1.168968144,2.191418187,-2.250097392,1.370546689,1.3662568,0.832882475,1.232485344,-1.029857244,2.635461498,-1.549901606,-2.083432324,-1.398985424
image 416,0.517149753,-0.704894304,0.404469696,-0.468933163,0.215423358,-0.67617774,-0.800625017,0.705076508,-1.425748283,-1.215148495,-0.029392406,-0.738098131,1.47381396,1.44944065,0.852951631,1.282366965,-1.383760148,0.215833196,0.756858302,-0.071641783,0.547735656
image 417,0.217376615,0.935869871,0.369908273,0.24358486,-0.059307942,0.956189054,-0.56692351,0.701267955,-0.339796125,-0.535026634,-0.373613632,0.289975249,0.291496039,0.339732595,0.602486498,0.541735212,0.674317384,-0.443228239,0.336868373,0.706784959,0.334914189
image 418,-0.908634834,-0.276248456,-0.904685774,-0.266781262,0.535859623,-0.272022124,-0.117780729,0.15017592,0.496213062,0.263685774,-0.380590282,0.483902323,-0.584065819,-0.573964142,0.125754077,-0.291619294,0.764359698,-0.392872984,-0.635239278,0.37623395,-0.807880725
image 419,-1.890703323,-0.450016948,-1.486088573,-0.2788873,0.549047138,-0.472678924,0.632115913,-0.810546024,0.651039072,0.448497825,-0.276925178,0.128186518,-0.361220495,-0.328427856,-0.63316126,-0.438837388,0.552005547,-0.170717443,-1.598416468,0.048245927,-1.365435332
image 420,1.103776098,-0.370995778,0.707732917,-0.251062065,-0.182546071,-0.369371746,-0.045181584,0.0054046,0.54303254,0.367410271,-0.413691317,0.52595791,-0.723494407,-0.714296476,-0.06594484,-0.52545704,0.884035577,-0.561711194,1.225223358,0.220703964,1.23867299
image 421,0.401353782,-0.23143476,0.35300644,0.000404388,-0.341679448,-0.214255801,-0.479009333,0.486821762,-0.033590725,-0.238043467,-0.307922616,0.138670677,-0.165603871,-0.134724866,0.506145089,0.216326914,0.911665893,-0.16775537,0.644872465,0.295954645,0.469063393
image 422,2.041991165,-0.768707879,2.659485559,-0.183357876,-0.112281876,-0.744928455,-0.662922192,0.439118673,-1.596552708,-1.203891296,1.073480688,-1.850736176,1.725795639,1.661475649,0.712693428,1.29644778,-2.29770462,1.312784002,2.25073531,-1.460586283,3.082164469
image 423,-0.870182662,-0.267822307,-0.876066049,-0.330432252,0.427081731,-0.26602158,-0.050139335,0.09639667,0.588901456,0.521138759,-0.435934603,0.743751526,-0.951555564,-0.962158249,0.04793286,-0.574418301,0.840236286,-0.641687189,-0.597580705,0.589675497,-0.789980339
image 424,-0.152049886,-0.055440587,-0.237522281,-0.226639207,-0.072256623,-0.104076262,1.356340241,-0.790732039,1.505551176,1.74860161,-0.471124392,1.245946067,-1.50804778,-1.549258268,-1.52036563,-1.822496877,-0.004517077,-0.70389074,0.10573081,0.707747563,-0.147073903
image 425,-0.053041035,-0.419051035,-0.186197172,-0.298300001,-0.060553944,-0.409523331,-0.26558061,0.187576082,-0.16057329,-0.419139005,0.062447264,-0.301404141,0.630444365,0.616664569,0.289900327,0.467850288,-0.782882208,0.500192288,0.202696257,-0.072596703,-0.052128046
image 426,0.236624674,-0.42651877,-0.110138242,-0.418345754,0.077793303,-0.476204896,1.38574314,-1.556901457,1.55980852,2.025312888,-0.45572911,1.044756772,-1.744668039,-1.817800032,-1.597447099,-2.136477109,-0.391556813,-0.591331933,0.4808102,0.4815538,0.184974035
image 427,-0.253277977,-0.440441745,-0.425294433,-0.455235455,0.204509031,-0.528020683,2.442480386,-2.7302847,1.886677501,2.533461561,-0.471088578,1.305444735,-1.842969156,-1.899150541,-2.423468731,-2.436251346,-0.454581376,-0.718701109,0.006591926,0.514423221,-0.320231009
image 428,-0.42535284,-0.350633435,-0.529947018,-0.302890026,0.35144489,-0.345244971,-0.150167859,0.125204332,0.39177283,0.012937168,-0.359565805,0.451469328,-0.057114643,-0.077864062,0.163227529,-0.008050158,-0.201984503,-0.256813868,-0.186572313,0.471412805,-0.463641125
image 429,0.188504527,-0.305624098,0.091001363,-0.32634193,0.033864992,-0.299901313,-0.159504375,0.16731355,0.4642008,0.356936462,-0.433205203,0.697602417,-0.814072251,-0.817019132,0.164649436,-0.406833164,0.903348976,-0.583926748,0.439256654,0.6366051,0.177438832
image 430,0.892882411,0.236227443,1.06029144,-0.00554792,-0.173413236,0.238306272,-0.058042285,0.348678951,0.63374558,0.400521022,-0.401736294,0.68697195,-0.643096246,-0.677376798,0.056354731,-0.435804024,0.16388555,-0.361771208,1.031098792,0.658984348,1.072183732
image 431,-0.500470516,-0.791606116,-0.683658442,-0.513310523,0.255023979,-0.791968426,0.010335409,-0.865731835,0.679933294,0.476540604,-0.389691735,0.435270527,-0.757360559,-0.785480226,-0.010375899,-0.511672502,0.36277526,-0.4817352,-0.236919168,0.172800864,-0.58057971
image 432,-1.243256627,-0.130407436,-1.092954436,-0.371591261,0.338201274,-0.114644714,-0.439543672,0.486864196,-0.098320445,-0.396164198,-0.219369346,-0.012738193,0.262863972,0.282298128,0.467540894,0.407103825,0.214952143,0.008488026,-0.962954942,0.246952319,-0.988571631
image 433,-0.615914924,-0.600864518,-0.745332282,-0.480922865,0.27633574,-0.604875902,0.112042933,-0.498728402,0.76752861,0.700207108,-0.439482539,0.720953224,-1.036854762,-1.066503114,-0.188987828,-0.8212953,0.545477553,-0.647611336,-0.348560699,0.427440172,-0.654042161
image 434,-0.660629308,-0.045091451,-0.67066303,-0.226085291,-0.026274386,-0.041182614,-0.10899422,0.273801655,0.400159999,0.145095226,-0.413936831,0.610395276,-0.414679445,-0.388684515,0.126567294,-0.155137813,0.820417657,-0.555787046,-0.39235224,0.639729415,-0.585980675
image 435,0.953570925,0.682725399,0.450902205,0.128750934,-0.716731571,0.643808686,1.085087453,-0.050835688,1.42214287,1.424927123,-0.3788665,0.838952673,-1.142090083,-1.191643686,-1.534971788,-1.68028897,-0.367096471,-0.175160554,-0.401282701,-0.572508781,-0.208051145
image 436,0.62204728,0.025508248,0.659548264,0.011763545,-0.331456451,0.011071844,0.402586771,-0.04194849,0.672636364,0.455930851,-0.406397761,0.706249642,-0.498543695,-0.472190783,-0.36409647,-0.422883675,0.654840261,-0.503950754,0.85959089,0.651329772,0.757725581
image 437,0.41277957,3.204184728,1.015311529,1.651267565,-0.444050126,3.17338412,0.858012643,0.488161813,-0.568783434,-0.289398918,0.632454659,-1.365062681,1.031151239,1.027558368,-0.645389835,0.492523249,-1.222295144,1.168139945,-1.2201092,-1.469111771,-0.629783245
image 438,-0.665331459,-0.198783546,-0.716847968,-0.348861887,0.2864393,-0.227144071,0.790960289,-0.547500871,1.225240741,1.294511307,-0.460548206,1.121686997,-1.31397893,-1.347858043,-0.813187657,-1.306284804,0.266989317,-0.660940669,-0.398377612,0.698523786,-0.633120224
image 439,-1.308141921,-0.322137569,-1.174044113,-0.099688789,0.681129908,-0.320596777,-0.042874512,0.04669859,0.44150241,0.135297147,-0.29917883,0.218902184,-0.253268166,-0.229267425,0.053859515,-0.129680448,0.511963336,-0.127767372,-1.026501095,0.227889265,-1.068309332
image 440,2.473463929,-0.113675886,1.835377141,-0.232749882,-0.230096972,-0.085812992,-0.776991277,0.748499353,-1.931875478,-1.360080286,1.651486385,-2.328539338,1.887427261,1.822332924,0.791340063,1.416044124,-2.398885006,1.896435397,-2.767430882,-3.855263573,-1.64830834
image 441,0.640658131,-0.540150187,0.568533872,-0.417786085,0.103055562,-0.566379085,0.731614538,-1.1424045,1.132303278,1.133349793,-0.446976842,0.885872505,-1.186035759,-1.210720023,-0.733762088,-1.135607037,0.386177382,-0.677232075,0.882078438,0.438454491,0.685949813
image 442,-0.396759513,-0.703764704,-0.585495958,-0.502177071,0.205766999,-0.730262952,0.739173881,-1.753260664,1.221746852,1.343501704,-0.44769854,0.847444173,-1.400126506,-1.446656846,-1.128361611,-1.652247626,0.185543042,-0.668345853,-0.13392835,0.289684759,-0.481142781
image 443,-1.053171058,-1.005927935,-1.145966035,-0.562939274,0.291333159,-0.9968394,-0.25316169,-1.444951733,0.349788365,0.143405902,-0.279691098,-0.103729588,-0.554748331,-0.546285874,0.066357073,-0.425102479,0.853598383,-0.086298338,-0.783484942,-0.320697936,-1.029166975
image 444,0.084485907,-0.451625768,-0.064862887,-0.409149527,0.111740158,-0.483139627,0.87897264,-1.08205902,1.26625422,1.390802777,-0.455962136,1.035781295,-1.391642883,-1.433846736,-0.899254915,-1.401475166,0.195172326,-0.63131993,0.337384834,0.53487002,0.032754938
image 445,-0.130362861,-0.704840109,-0.330521342,-0.508954871,0.249047604,-0.723572471,0.522603613,-1.411940496,1.107460039,1.177272218,-0.431748141,0.713590682,-1.312541834,-1.369699378,-0.552720115,-1.218838628,0.097755948,-0.606142302,0.126970245,0.303783996,-0.224826321
image 446,-0.101073292,0.67967984,-0.02469214,0.065797857,0.169795627,0.680567663,-0.024957887,0.443242948,0.642265337,0.419441451,-0.450462811,0.947097774,-0.699766161,-0.71200445,0.02485155,-0.452244957,0.504774251,-0.564673268,0.141452657,0.900810411,0.038607809
image 447,-0.446725365,-0.226339988,-0.528761223,-0.326347765,0.36249779,-0.231337476,0.139433279,-0.034124278,0.766647427,0.640067172,-0.445783672,0.880971061,-0.931994369,-0.944454078,-0.145810629,-0.675491033,0.646656567,-0.641687189,-0.182862976,0.670017835,-0.447064024
image 448,-0.586076038,-0.675045031,-0.725265373,-0.473587106,0.279194375,-0.653973202,-0.587441727,0.388152426,-0.487898518,-0.707337687,-0.128555085,-0.295786961,0.695646432,0.705523897,0.625196157,0.737462119,-0.264547225,0.223238381,-0.319337646,0.114595764,-0.620553059
image 449,-0.065060086,-0.102692566,-0.144761216,-0.314127713,0.280682222,-0.113211246,0.293368991,-0.057032087,0.854447731,0.74953537,-0.44695116,0.932847312,-0.977323773,-0.978608129,-0.298139802,-0.773511994,0.724232714,-0.638725115,0.190925263,0.709676959,-0.061490166
image 450,1.852297076,-0.723627824,2.307236896,-0.294829238,-0.008588564,-0.787886809,1.792229629,-3.598233841,0.368810445,0.503231924,-0.195382722,-0.34923042,-0.146843212,-0.065312726,-1.286048023,-0.292719098,0.955342323,-0.274390029,2.041725784,-0.465539792,2.572938777
image 451,0.119949796,-0.309376529,0.022421531,-0.317185152,0.048836121,-0.285453538,-0.667060262,0.631846228,-0.567853879,-0.680984232,-0.344937974,0.062250321,0.424036633,0.473680174,0.708419462,0.690406801,0.647170428,-0.378062614,0.372116798,0.58282529,0.108688075
image 452,1.227692472,-0.99960854,1.303478718,-0.427622027,0.149207886,-0.969756258,-0.83221108,0.674291619,-1.992083183,-1.404686868,1.123155903,-1.948510699,1.903105675,1.834609789,0.887432296,1.495822976,-2.40938282,1.206674557,1.450047555,-1.519695716,1.637887208
image 453,-1.172153066,-0.638950412,-1.175662214,-0.476457266,0.396205183,-0.694219332,1.541495057,-2.618844679,1.449514637,1.591832338,-0.405342428,0.672187451,-1.296355754,-1.319315579,-1.493091416,-1.523495851,0.144221023,-0.532090455,-0.893318861,0.122048896,-1.059953115
image 454,0.740172354,-0.211266978,-0.187413141,-0.37388519,-0.142011623,-0.197080522,-0.39556204,0.423904733,0.110663431,-0.169119046,-0.23008549,-0.150391945,-0.158582622,-0.142397015,0.265559654,-0.04988085,0.645623751,0.100312316,0.837361572,-0.230755479,0.688752505
image 455,0.266090025,2.225398778,0.626205546,1.293275982,-0.699886909,2.119713165,2.946649294,-0.122637033,0.549582303,0.884343428,-0.008682994,-0.106809615,0.21828788,0.24008179,-2.379778591,-0.53263214,-0.606658147,0.326910967,0.486835572,0.043178598,0.788176038
image 456,0.383797618,-0.798455966,0.225378934,-0.405409017,0.251662919,-0.773077465,-0.707507655,0.499785193,-1.215384947,-1.102639513,1.494066708,-1.60597429,1.393578494,1.368146577,0.755050782,1.170840286,-1.400873583,2.138219137,0.613475974,-1.236120565,0.451953426
image 457,-0.099645068,1.699524563,0.182004813,0.90702818,-0.28243293,1.718779634,-0.537471525,0.72406789,-0.241619687,-0.501240153,-0.341427972,0.354782985,0.324041365,0.351308381,0.569946201,0.509248593,0.325460778,-0.240326179,0.115866346,0.741056162,0.240122216
image 458,0.094505444,-0.292843594,-0.002231591,-0.289078929,-0.023242227,-0.270149376,-0.632797785,0.60417912,-0.434953283,-0.555974252,-0.353924917,0.150713174,0.208780091,0.259194218,0.6712008,0.552661625,0.881950344,-0.418050612,0.34435705,0.569019571,0.082316989
image 459,0.776141615,1.170424927,1.091206324,0.821210465,-1.01798805,1.185144306,-0.410827986,0.657532671,0.026037024,-0.313387319,-0.080397114,0.045009329,0.182608307,0.185022136,0.435326009,0.317753517,0.048886562,0.463166364,1.0076644,0.297755734,1.234840787
image 460,-1.026693991,0.042952437,-0.919771176,-0.221159811,0.46020594,0.061064929,-0.505123427,0.575936249,-0.171683013,-0.378595228,-0.385163157,0.339912839,0.050682784,0.09782851,0.536787552,0.372992332,0.895717463,-0.511355938,-0.752282124,0.637698171,-0.834796518
image 461,1.408427168,-0.305282705,1.707303222,-0.146551541,-0.156075681,-0.281824443,-0.654101388,0.620803443,-0.848649577,-0.918841057,-0.234520292,-0.293166261,1.021030107,1.026782297,0.699408371,0.968095019,-0.611191858,-0.309934915,1.371252545,0.152130379,1.618484559
image 462,-0.267714022,-0.550317662,-0.438047746,-0.463122735,0.228517278,-0.580589565,0.844366556,-1.311350035,1.294888284,1.491824355,-0.453883985,0.971581535,-1.487795061,-1.554809624,-0.885148572,-1.519951908,-0.090739402,-0.638725115,-0.008966445,0.471746688,-0.343429882
image 463,1.580257419,-0.810047326,1.872547656,-0.4168687,0.106698994,-0.80044592,-0.267521603,-0.384852297,0.249888774,-0.111722735,-0.246573506,-0.068812535,-0.026417114,-0.03369745,0.288247437,0.112122952,0.064594414,-0.070952654,1.781751736,-0.09834806,2.064047017
image 464,0.552745478,0.906493709,0.748943188,0.592067373,-0.715398676,0.903714477,0.077240503,0.44246882,0.236072492,0.136310741,-0.432467012,0.727867314,-0.402131608,-0.351022878,-0.025927503,-0.117914302,1.184056514,-0.615028524,0.788878849,0.85284468,0.833849111
image 465,-0.79758496,-0.936755774,-0.960717463,-0.547630621,0.307980274,-0.957323323,0.573850068,-3.261959621,0.979417732,0.859679297,-0.336685452,0.20956184,-0.921010872,-0.914743898,-0.764673912,-1.001661516,0.621623966,-0.341036691,-0.526481318,-0.27276982,-0.832121353
image 466,-1.643400921,0.665964322,-1.166826263,1.188920264,1.868563446,0.640916171,0.698333794,0.115357323,-0.902105027,-0.416773951,2.760990556,-2.192397771,1.392888847,1.336816853,-0.5514817,0.621730245,-2.362494242,3.038689593,-1.354840816,-2.096301375,-0.959519823
image 467,2.335652627,-0.179255269,1.605805572,-0.404909214,-0.103401202,-0.149020036,-0.84313053,0.797364174,-2.202699187,-1.458480799,1.761697893,-2.531192196,2.010390539,1.938237398,0.886131695,1.533289531,-2.575437375,1.741838792,-2.7984173,-3.940832346,-1.669673008
image 468,0.468480289,0.0281022,0.456274901,-0.165381855,-0.062133854,-0.024552822,1.468405046,-0.760234012,1.569030172,1.91584469,-0.476133161,1.374157374,-1.629868041,-1.678170276,-1.502257132,-1.894924649,-0.096166635,-0.720182146,0.706352775,0.810704041,0.540821976
image 469,-0.205597283,-0.021451436,-0.256862891,-0.218158476,0.126504823,-0.002604277,-0.525592557,0.577322273,-0.19482277,-0.430964273,-0.407417987,0.456013882,0.151518621,0.184405528,0.55875343,0.429590701,0.621676535,-0.5780026,0.051868291,0.804101281,-0.186782588
image 470,-0.590910025,0.419576125,-0.554280159,0.085280696,0.503518514,0.343753149,2.114385265,-0.720608941,1.804383326,2.192218104,-0.477445082,1.454783598,-1.5542753,-1.594623273,-2.116464167,-2.100372139,-0.372657902,-0.702409703,-0.39366491,0.817673263,-0.528819007
image 471,-0.951042088,-0.574219745,-1.037573817,-0.510118306,0.279686345,-0.685137146,3.093369269,-4.280707246,2.104727837,3.022689805,-0.4680107,1.240831408,-1.993372268,-2.040842877,-3.604138442,-3.135856091,-0.655359985,-0.70389074,-0.676771304,0.331055006,-0.921289177
image 472,-0.153280356,-0.092018341,-0.219719072,-0.269798318,0.184531767,-0.07366153,-0.511897384,0.55206281,-0.153439817,-0.226556063,-0.422209616,0.513333335,-0.298831207,-0.244880642,0.541066447,0.195936939,1.4040795,-0.637244078,0.098844671,0.756089876,-0.151130724
image 473,-0.496735162,0.630317001,-0.572143551,0.013096028,0.446270579,0.620075781,0.285416955,0.291057268,0.297301497,0.096104829,-0.346190991,0.182789416,-0.107082442,-0.087020213,-0.252070058,-0.089692866,0.386423771,-0.412126464,-0.236015363,0.351717173,-0.315963149
image 474,-2.062793274,-0.761736496,-1.597604832,-0.536293636,0.352992729,-0.762037513,0.008617376,-0.757365902,-0.624330374,-0.608343298,0.31695268,-0.906649801,1.052350232,1.047666107,-0.133470813,0.606430574,-1.068551464,0.969680996,-1.765577495,-0.627050362,-1.464472615
image 475,0.237503581,-0.125497327,0.165365597,-0.28091559,0.054898304,-0.158873347,0.930808134,-0.564978559,1.328601119,1.596224581,-0.473197124,1.254295849,-1.569341344,-1.626237585,-0.976146219,-1.62339394,0.027149987,-0.727587331,0.487244436,0.76567775,0.251518126
image 476,-0.847262094,-0.766081461,-0.945937031,-0.307552041,0.601122348,-0.738455536,-0.770191985,0.635010727,-1.181788339,-1.106549767,0.678859742,-1.422513343,1.268216079,1.259064296,0.82010333,1.162705575,-0.983892915,0.993346516,-0.584032196,-1.10059681,-0.788485525
image 477,0.49737435,-0.051357318,0.483195826,-0.127410322,-0.217605644,-0.084855567,0.934195113,-0.480942556,1.273944072,1.210720834,-0.38511297,0.828901945,-1.01926425,-1.033690407,-0.951332604,-1.183845568,0.101223645,-0.33659358,0.740331568,0.488205446,0.598082808
image 478,0.749862037,3.862379571,-1.215505762,3.737522156,-4.482032675,3.889797664,-0.765749844,0.8039613,-2.145435055,-1.353827751,2.008757459,-2.210033896,1.89265844,1.831033174,0.332078102,1.166198741,-2.379245611,2.515687274,-2.486227509,-2.478967812,-1.629478988
