"","x"
"1",0.152941176470588
"2",0.604399215686275
"3",0.778964705882353
"4",0.803921568627451
"5",0.845117647058824
"6",0.0626345098039216
"7",0.715827450980392
"8",0.470588235294118
"9",0.404921568627451
"10",0.807843137254902
"11",0.0274509803921569
"12",0.443176470588235
"13",0.504352941176471
"14",0.427450980392157
"15",0.199000784313725
"16",0.799058823529412
"17",0.726007058823529
"18",0.776470588235294
"19",0.3
"20",0.87843137254902
"21",0.315492549019608
"22",0.380392156862745
"23",1
"24",0.792156862745098
"25",0.607457254901961
"26",0.968627450980392
"27",0.831372549019608
"28",0.748203921568627
"29",0.788156862745098
"30",1
"31",0.637679215686275
"32",0.895294117647059
"33",0.608803921568627
"34",0.329552941176471
"35",0.443070588235294
"36",0.592882352941176
"37",0.925490196078431
"38",0.0627450980392157
"39",0.523727058823529
"40",0.616333333333333
"41",0.466745098039216
"42",0.76078431372549
"43",0.8
"44",0.0901960784313725
"45",0.529643137254902
"46",0.61159137254902
"47",0.580313725490196
"48",0.417196078431373
"49",0.752941176470588
"50",0.510533333333333
"51",0.52156862745098
"52",1
"53",0.69321568627451
"54",0.421803921568627
"55",0.284854901960784
"56",0.749019607843137
"57",0.223529411764706
"58",0.415217254901961
"59",0.571294117647059
"60",0.450058823529412
"61",0.101960784313725
"62",0.0941176470588235
"63",0.451137254901961
"64",0.590716862745098
"65",0.710196078431373
"66",0.441297254901961
"67",0.0470588235294118
"68",0.301960784313725
"69",0.477372549019608
"70",0.0901960784313725
"71",0.286701176470588
"72",0.462745098039216
"73",0.313764705882353
"74",0.141176470588235
"75",0.870588235294118
"76",0.23218431372549
"77",0.906235294117647
"78",0.253618039215686
"79",0.286235294117647
"80",0.641019607843137
"81",1
"82",0.467137254901961
"83",0.75475137254902
"84",0.32825568627451
"85",0.647058823529412
"86",0.0784705882352941
"87",0.322380392156863
"88",0.831372549019608
"89",0.194438431372549
"90",0.992156862745098
"91",0.823529411764706
"92",0.745098039215686
"93",0.574352941176471
"94",0.17057568627451
"95",0.929411764705882
"96",0.909803921568628
"97",0.775718431372549
"98",0.788705882352941
"99",0.54043137254902
"100",0.580392156862745
"101",0.316352941176471
"102",0.184313725490196
"103",0.792156862745098
"104",0.231372549019608
"105",0.716764705882353
"106",0.596493333333333
"107",0.442174901960784
"108",0.515305882352941
"109",0.210996078431373
"110",0.871529411764706
"111",0.655060392156863
